quarter,gdp,gdp_deflator,tbill_3m,investment,sp500,spread_baa_fedfunds
1992:Q3,9.183277452426493,4.2115644763923745,2.91,7.120603615977712,1.436575089744631,5.399999999999999
1992:Q4,9.193651890689948,4.218580805148734,3.22,7.150658319407186,1.4310753269484509,5.890000000000001
1993:Q1,9.19532825185568,4.224509879298847,2.95,7.173960618604726,1.4401666281629555,5.08
1993:Q2,9.201128068713642,4.2303894600109215,3.07,7.179697375383039,1.4389234157820943,5.03
1993:Q3,9.205890485902552,4.2353955285213,2.95,7.1728826456413355,1.4414435033944084,4.25
1993:Q4,9.219399216464529,4.241254807536722,3.06,7.224095505495178,1.449595759051947,4.73
1994:Q1,9.229063985974285,4.2463644019927616,3.5,7.261477869009878,1.454687839555125,4.790000000000001
1994:Q2,9.242517103671403,4.2511203648260825,4.14,7.309487428261192,1.4375663915828976,4.4
1994:Q3,9.248348812161888,4.256435066625617,4.62,7.293016999500442,1.4395701127161462,4.25
1994:Q4,9.25973987427095,4.2620035920741515,5.6,7.333334077112566,1.4447947082133783,3.6499999999999995
1995:Q1,9.263274319755618,4.267681432889021,5.73,7.343780629470813,1.4419131346740848,2.719999999999999
1995:Q2,9.266257460134543,4.272574426112799,5.47,7.322791768263319,1.4613212111892673,1.9000000000000004
1995:Q3,9.274732007326564,4.277041048721128,5.28,7.3168132583249355,1.4803712505060298,2.13
1995:Q4,9.281497566292511,4.281750394377799,5.14,7.34134450370449,1.486684272935937,1.8900000000000006
1996:Q1,9.28895744853581,4.286341384539473,4.96,7.357275549286472,1.5059999730003129,2.7199999999999998
1996:Q2,9.305495994382582,4.290418344413521,5.09,7.404207295616347,1.5111270594297064,3.130000000000001
1996:Q3,9.314430080500564,4.295269770747599,5.09,7.448630846495857,1.5043036626724342,3.05
1996:Q4,9.324757750156264,4.299487062426758,4.91,7.447311206539787,1.5254332930859393,2.5999999999999996
1997:Q1,9.33119424334209,4.303956979251959,5.14,7.4673019216699394,1.549076899744696,2.79
1997:Q2,9.34767327967728,4.30893161085319,4.93,7.526693866941677,1.5517269546768273,2.46
1997:Q3,9.360104301209962,4.311885783081271,4.95,7.540597630336539,1.5911756372128236,2.16
1997:Q4,9.368659494618491,4.315459390401768,5.16,7.555407061664232,1.580019196480752,1.8200000000000003
1998:Q1,9.378605261780404,4.316474266433646,5.03,7.598085997032508,1.59570932663816,1.83
1998:Q2,9.387816877106937,4.319073522777323,4.98,7.591890977832103,1.6238877602807615,1.5700000000000003
1998:Q3,9.400266275630072,4.322939892214555,4.61,7.617275191859858,1.6242839768283128,1.58
1998:Q4,9.416297071867572,4.325628226074419,4.39,7.647671535068077,1.61869103639809,2.5500000000000007
1999:Q1,9.425717845219337,4.328876353996171,4.44,7.674760543333451,1.652700027052284,2.7200000000000006
1999:Q2,9.433379917882018,4.333230220484919,4.57,7.675384504578961,1.6608444571404992,3.26
1999:Q3,9.446392251191105,4.336924660761461,4.68,7.702453578653461,1.6583113414121433,2.9799999999999995
1999:Q4,9.46324464689202,4.342024616381214,5.2,7.728897617963759,1.6622181380198713,2.8899999999999997
2000:Q1,9.466856801909763,4.34884465163279,5.69,7.721840069847244,1.6648703512142222,2.5199999999999996
2000:Q2,9.48499799330521,4.354668284660594,5.69,7.779355292465063,1.6719972266179532,1.9500000000000002
2000:Q3,9.486334404632773,4.360739155530625,6,7.769494361158399,1.6662335708020426,1.83
2000:Q4,9.492544970419596,4.366011575477198,5.77,7.771408234109885,1.663992394246418,1.6199999999999992
2001:Q1,9.489690328558394,4.372380257622076,4.42,7.7249776579578135,1.6511943004414191,2.5300000000000002
2001:Q2,9.495519314209846,4.379022125653583,3.49,7.726403633592433,1.628323980183868,3.9999999999999996
2001:Q3,9.491360301554414,4.382151626862033,2.64,7.704527970950121,1.6200698322902336,4.959999999999999
2001:Q4,9.494082191818405,4.385570348297247,1.69,7.653732073186615,1.5883490778115037,6.23
2002:Q1,9.502786080276985,4.388294450810863,1.79,7.682808199922722,1.6020242142939314,6.379999999999999
2002:Q2,9.50882884439295,4.392372926728026,1.7,7.699106176300443,1.589542643243873,6.2
2002:Q3,9.513263211656724,4.396631955812898,1.63,7.697624823562914,1.550100669314524,5.65
2002:Q4,9.51480581246231,4.402356083959298,1.19,7.697007323501294,1.5415492661366959,6.21
