quarter,gdp,gdp_deflator,tbill_3m,investment,sp500,spread_baa_fedfunds,spread_baa_10y,credit_real_estate_ratio,mortgage_rate,cpi,pce,employment,industrial_production,treasury_1y,djia
2012:Q2,9.692692444402782,4.602055339887902,0.09,7.877205662515094,1.5738040958054713,4.859999999999999,3.3499999999999996,0.17930740701172546,3.66,5.431641237641456,4.6021757070077625,11.866332073715474,4.6058979211246305,0.21,2.057430193136475
2012:Q3,9.69404348333498,4.608155724828458,0.11,7.881733240404119,1.5688154512951527,4.7,3.19,0.17118975357812022,3.4,5.442482643478538,4.608943059740589,11.870907554222166,4.604218733500692,0.17,2.053245052985667
2012:Q4,9.695177193460783,4.612423814699399,0.07,7.872799983894643,1.5724651544307116,4.47,2.8499999999999996,0.16675449542070017,3.35,5.443373963123214,4.6111025546411994,11.87290494291726,4.614666948648222,0.16,2.0574302790105325
2013:Q1,9.703999490820264,4.616337597679988,0.09,7.909407961623422,1.5839308624866597,4.71,2.9799999999999995,0.15012944928194555,3.57,5.447952150764697,4.615269020665506,11.872807261456428,4.623122082129559,0.14,2.060663056312593
2013:Q2,9.705231716729697,4.619378764355375,0.05,7.920532589341361,1.596803245638892,5.1000000000000005,2.6700000000000004,0.12704257260780366,4.46,5.448653637903099,4.617355640851893,11.87756163408958,4.624530558641356,0.15,2.0777381327511213
2013:Q3,9.713035028842244,4.624825743646532,0.02,7.9584898370866375,1.6070098563077666,5.39,2.8299999999999996,0.10416066834417434,4.32,5.453370496187798,4.620502049985073,11.880467151411843,4.631977633907682,0.1,2.0824960144525972
2013:Q4,9.720981978812096,4.630360235811655,0.07,7.962111558645706,1.6137686482685714,5.29,2.34,0.10024163344658477,4.48,5.458389053990231,4.625609865225547,11.882956813689,4.636188117357537,0.13,2.082695029524987
2014:Q1,9.718151456581301,4.634340563287871,0.05,7.950955980161558,1.6153049234789947,4.9799999999999995,2.3299999999999996,0.09609189641385671,4.4,5.463950442055756,4.629950599601889,11.88894803074507,4.650037427453006,0.13,2.090437863198382
2014:Q2,9.7316013574637,4.639948353323967,0.04,7.992291631512261,1.6253110737063254,4.7,2.27,0.08853855077019665,4.14,5.469034349983856,4.634495951369918,11.8930522520632,4.6578394832493215,0.11,2.091291341022036
2014:Q3,9.743735380268523,4.644487048365042,0.02,8.01254246367833,1.6288497676507432,4.71,2.28,0.07233423166454016,4.2,5.4700707766799335,4.636009721139064,11.896676520171638,4.661680945700931,0.13,2.095361488540956
2014:Q4,9.749345206007481,4.645140618031919,0.03,8.013626822057217,1.6382639159269856,4.62,2.5700000000000003,0.06453152025824982,3.87,5.4648990319464845,4.633291061704746,11.902362812001195,4.668224794171228,0.25,2.0987359568965083
2015:Q1,9.758796984414362,4.644909995156951,0.03,8.04791697753978,1.63603516102841,4.43,2.6,0.06072763430707438,3.69,5.463730104939077,4.632191791684375,11.905832043830998,4.655353664758051,0.26,2.1064966032334
2015:Q2,9.765534972277642,4.650592781495914,0.02,8.050922745163426,1.6435893936910286,5,2.78,0.054048520862153525,4.02,5.470828457707228,4.637405016121449,11.910465922482247,4.641669892866874,0.28,2.106879568116117
2015:Q3,9.769155839740836,4.653198154998673,0.02,8.048901376180519,1.6444235086478964,5.2,3.28,0.04253269262041519,3.86,5.470159202386607,4.636949821324117,11.91053311730021,4.642242439006695,0.33,2.101846655075065
2015:Q4,9.77076154978381,4.653341110849385,0.23,8.036802038162332,1.6419360430637784,5.22,3.19,0.037262513606736165,4.01,5.471265967442488,4.636823879789886,11.91924354252983,4.6259664371236235,0.65,2.0932696906647426
2016:Q1,9.776409577460683,4.653026580997432,0.29,8.030689379795312,1.6266540831944027,4.77,3.3499999999999996,0.04001241411096055,3.71,5.472606751644727,4.638750019251287,11.926477783261012,4.619225939435742,0.59,2.0910068727056217
2016:Q2,9.779521692552732,4.659611021666338,0.27,8.021921640121375,1.6383204017680173,4.15,3.04,0.02856476471125618,3.48,5.481563495793126,4.64572654523042,11.92651084756116,4.6237436267714145,0.45,2.09701450698
2016:Q3,9.784951733609503,4.662882335377097,0.29,8.022269787780843,1.6478933960157067,3.9099999999999997,2.7099999999999995,0.014237680545890813,3.42,5.485526957414767,4.649340169732565,11.930062193938793,4.625440351030288,0.59,2.1030459181103023
2016:Q4,9.791225498176031,4.668201321590722,0.51,8.048822148775463,1.641586731241818,4.29,2.38,0.00188395961800779,4.32,5.491566499307847,4.654007968071392,11.932668161496524,4.634030686221103,0.85,2.1024995276848664
2017:Q1,9.796865129897382,4.673118512127448,0.74,8.045707824939894,1.655078820624033,3.8899999999999997,2.28,0.004572533972365624,4.14,5.49620874874932,4.6575064363079735,11.938519944373558,4.638053552822802,1.03,2.1178874934712217
