"quarter","inflation_author","unemployment_author","tbill_rate_author","inflation_fred","unemployment_fred","tbill_rate_fred","inflation_diff","unemployment_diff","tbill_rate_diff"
"1983Q1",4.629404,10.4,7.86,4.50086856964238,10.3666666666667,8.10666666666667,-0.12853543035762,-0.0333333333333332,0.246666666666665
"1983Q2",4.0927322,10.2,8.21,3.92012593237729,10.1333333333333,8.39666666666667,-0.172606267622706,-0.0666666666666664,0.186666666666666
"1983Q3",3.7171839,9.4,9.08,3.60003944718201,9.36666666666667,9.14,-0.117144452817987,-0.0333333333333332,0.0600000000000005
"1983Q4",3.3726866,8.8,8.64,3.33638766453936,8.53333333333333,8.8,-0.036298935460636,-0.266666666666667,0.16
"1984Q1",3.764768,8,8.9,3.52242675229841,7.86666666666667,9.17,-0.242341247701587,-0.133333333333334,0.27
"1984Q2",3.9426026,7.7,9.69,3.67851840216056,7.43333333333333,9.79666666666667,-0.264084197839442,-0.266666666666667,0.106666666666667
"1984Q3",3.7334839,7.5,10.12,3.51937657440762,7.43333333333333,10.32,-0.214107325592382,-0.0666666666666664,0.200000000000001
"1984Q4",3.5928507,7.4,9.74,3.47167095036731,7.3,8.80333333333333,-0.121179749632689,-0.100000000000001,-0.936666666666667
"1985Q1",3.5039947,7.3,7.76,3.50984112101833,7.23333333333333,8.18333333333333,0.00584642101833133,-0.0666666666666664,0.423333333333334
"1985Q2",3.1183736,7.3,7.95,3.2031458000028,7.3,7.46,0.0847722000028046,0,-0.49
"1985Q3",2.775449,7.4,7.08,2.96729331144809,7.2,7.10666666666667,0.191844311448094,-0.2,0.0266666666666664
"1985Q4",2.7883378,7.1,7.16,2.78911209878743,7.03333333333333,7.16666666666667,0.000774298787427519,-0.0666666666666664,0.00666666666666682
"1986Q1",2.1393466,6.7,7.07,2.26162489070068,7.03333333333333,6.89666666666667,0.122278290700675,0.333333333333333,-0.173333333333334
"1986Q2",2.0980127,7.1,6.06,2.02244204651274,7.16666666666667,6.14,-0.0755706534872598,0.0666666666666673,0.0800000000000001
"1986Q3",2.2597172,7,5.83,1.83416515687362,6.96666666666667,5.52333333333333,-0.425552043126376,-0.0333333333333332,-0.306666666666667
"1986Q4",2.3627648,7,5.18,1.9090153892916,6.83333333333333,5.35333333333333,-0.453749410708398,-0.166666666666667,0.173333333333334
"1987Q1",2.6238324,6.6,5.43,1.99681850119755,6.6,5.53666666666667,-0.62701389880245,0,0.106666666666666
"1987Q2",2.6802439,6.3,5.64,2.32501917176808,6.26666666666667,5.65666666666667,-0.355224728231916,-0.0333333333333332,0.0166666666666666
"1987Q3",2.791967,6.1,5.69,2.62030362770296,6,6.04333333333333,-0.171663372297042,-0.0999999999999996,0.353333333333333
"1987Q4",2.7626459,6,6.13,2.77454808101161,5.83333333333333,5.86333333333333,0.0119021810116076,-0.166666666666667,-0.266666666666667
"1988Q1",2.8270403,5.7,5.81,2.96397143538547,5.7,5.72333333333333,0.136931135385471,0,-0.086666666666666
"1988Q2",3.2810271,5.4,5.91,3.28135995340695,5.46666666666667,6.21,0.000332853406947997,0.0666666666666664,0.3
"1988Q3",3.7140912,5.4,6.73,3.72748255270796,5.46666666666667,7.01,0.0133913527079614,0.0666666666666664,0.279999999999999
"1988Q4",3.837832,5.4,7.35,3.89557717073714,5.33333333333333,7.72666666666667,0.057745170737141,-0.0666666666666673,0.376666666666667
"1989Q1",4.0555764,5.4,8.27,4.08463777087129,5.2,8.54,0.0290613708712915,-0.2,0.27
"1989Q2",4.0453676,5.2,8.65,4.16614986478825,5.23333333333333,8.41,0.120782264788249,0.0333333333333332,-0.24
"1989Q3",3.5902754,5.2,7.88,3.68934277375743,5.23333333333333,7.84333333333333,0.0990673737574315,0.0333333333333332,-0.0366666666666662
