"rep","lags","lambda_min","best_lambda","best_log_mdd"
39,4,0.2,5,-226.115749538972
40,4,0.2,10,-214.017602930629
41,4,0.2,10,-195.132834477081
42,4,0.2,10,-210.804428594393
43,4,0.2,10,-199.639708465738
44,4,0.2,10,-201.370003090948
45,4,0.2,10,-208.797343390464
46,4,0.2,10,-204.428827209609
47,4,0.2,10,-205.095024843973
48,4,0.2,5,-206.539709816139
49,4,0.2,10,-214.270490094481
50,4,0.2,5,-182.950402590929
51,4,0.2,10,-191.48977376208
52,4,0.2,5,-198.311580939652
53,4,0.2,5,-199.378214709917
54,4,0.2,10,-192.169821743863
55,4,0.2,10,-190.42060525878
56,4,0.2,10,-220.370136795238
57,4,0.2,10,-192.805748307872
58,4,0.2,10,-209.83571379266
59,4,0.2,10,-214.070378176538
60,4,0.2,10,-199.456269691878
61,4,0.2,10,-207.675578664564
62,4,0.2,10,-216.085665447674
63,4,0.2,10,-203.330703361774
64,4,0.2,10,-199.674587267723
65,4,0.2,10,-206.731401475639
66,4,0.2,5,-208.691712580013
67,4,0.2,10,-208.876377958583
68,4,0.2,10,-192.319383066829
69,4,0.2,5,-212.880776997854
70,4,0.2,10,-201.773443012358
71,4,0.2,10,-190.681207393636
72,4,0.2,10,-227.737061317809
73,4,0.2,10,-192.933565359545
74,4,0.2,10,-214.866664393149
75,4,0.2,10,-191.688401704594
76,4,0.2,10,-203.022826901197
77,4,0.2,5,-194.465253664146
78,4,0.2,10,-210.082696027499
79,4,0.2,5,-204.738375859327
80,4,0.2,5,-222.25447057757
81,4,0.2,5,-233.118979460361
82,4,0.2,10,-206.085877921871
83,4,0.2,10,-203.047003933064
84,4,0.2,10,-203.817151412962
85,4,0.2,10,-202.019003764759
86,4,0.2,10,-216.047252333317
87,4,0.2,10,-192.715601290787
88,4,0.2,10,-205.12864395014
89,4,0.2,10,-202.222573933628
90,4,0.2,5,-228.088229797487
91,4,0.2,10,-191.945363690972
92,4,0.2,10,-206.414895852999
93,4,0.2,1,-188.573002973714
94,4,0.2,10,-213.134170492642
95,4,0.2,10,-216.853168708949
96,4,0.2,10,-211.323862279361
97,4,0.2,10,-217.371274384294
98,4,0.2,10,-190.2383133002
99,4,0.2,5,-222.1491840791
100,4,0.2,10,-223.999926243785
1,5,0.24,5,-222.540585324582
2,5,0.24,5,-198.36159961933
3,5,0.24,10,-197.180085610179
4,5,0.24,10,-204.603540023563
5,5,0.24,10,-204.572790024628
6,5,0.24,10,-195.284059765402
7,5,0.24,10,-197.033836218247
8,5,0.24,10,-205.84976156181
9,5,0.24,10,-207.134832096663
10,5,0.24,10,-199.034810264438
11,5,0.24,10,-211.62920177463
12,5,0.24,10,-207.799303203024
13,5,0.24,10,-197.024982082559
14,5,0.24,10,-178.308204305112
15,5,0.24,10,-206.713265367041
16,5,0.24,5,-230.408492085225
17,5,0.24,10,-220.422993766897
18,5,0.24,10,-195.134850150091
19,5,0.24,10,-196.229366513022
20,5,0.24,10,-204.694770149933
21,5,0.24,5,-198.981824007258
22,5,0.24,10,-196.891604247211
23,5,0.24,10,-192.825496139397
24,5,0.24,10,-198.748755375002
25,5,0.24,10,-213.54387270998
26,5,0.24,10,-211.811929514632
27,5,0.24,5,-194.590592617866
28,5,0.24,10,-194.646871120165
29,5,0.24,10,-193.07709208574
30,5,0.24,10,-201.009194580788
31,5,0.24,10,-225.199755362846
32,5,0.24,5,-221.703903987762
33,5,0.24,10,-206.463495497675
34,5,0.24,10,-182.148125943439
35,5,0.24,10,-190.24915888475
36,5,0.24,5,-223.338636246847
37,5,0.24,10,-197.622451285237
38,5,0.24,10,-214.705244724331
39,5,0.24,10,-210.768561383218
40,5,0.24,10,-205.693838615939
41,5,0.24,5,-207.24355480893
42,5,0.24,10,-203.919525801301
43,5,0.24,10,-214.129837361887
44,5,0.24,5,-219.112265894693
